Job Title,Skills
Admin Big Data,"Hadoop, Spark, MapReduce, Data Lakes, Data Warehousing, Big Data Architecture, NoSQL, Data Modeling, ETL, Cloud Computing, AWS, Azure, Data Governance, Security"
Ansible Operations Engineer,"Ansible, Linux, Automation, Cloud Platforms, CI/CD, Infrastructure as Code, Kubernetes, Docker, AWS, Terraform, Python, Scripting, Networking"
Artifactory Administrator,"Artifactory, CI/CD, Jenkins, Docker, Maven, Gradle, Build Automation, Version Control, Git, Cloud Computing, Linux, JFrog CLI"
Artificial Intelligence / Machine Learning Leader,"AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management"
Artificial Intelligence / Machine Learning Sr.Leader,"AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management, Innovation, Mentoring"
Artificial intelligence Architect,"AI Architecture, Machine Learning, Cloud Computing, Data Science, Deep Learning, System Design, AWS, Azure, Scalability, Security, Model Deployment"
Artificial Intelligence Researcher,"Machine Learning, Deep Learning, Research Methods, Python, TensorFlow, PyTorch, Data Analysis, Statistical Analysis, Algorithm Design, Scientific Writing"
Big Data Architect,"Hadoop, Spark, Kafka, MapReduce, NoSQL, Data Warehousing, Cloud Computing, AWS, Azure, Data Lakes, Data Modeling, ETL, Data Governance, Security"
Big Data Engineer,"Hadoop, Spark, Kafka, SQL, NoSQL, Python, Java, Scala, Data Pipelines, ETL, Data Warehousing, Cloud Computing"
Big Data Specialist,"Hadoop, Spark, Data Analysis, Data Visualization, SQL, NoSQL, Data Modeling, ETL, Cloud Computing, Data Mining, Statistical Analysis"
Build and Release Engineer,"CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools"
Build Engineer,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control"
Chef Operations Engineer,"Chef, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code"
Data Analysts,"SQL, Excel, Data Visualization, Power BI, Python, R, Statistics, Data Mining, Data Cleansing, Tableau, ETL, Data Modeling"
Data Architect,"Data Modeling, Data Warehousing, ETL, SQL, NoSQL, Data Governance, Cloud Computing, AWS, Azure, Data Integration, Data Security"
DevOps Architect,"Cloud Computing, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, CI/CD, Automation, Security, Networking"
DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Scripting, Cloud Computing"
ELK Engineer,"Elasticsearch, Logstash, Kibana, Data Visualization, Log Management, Linux, AWS, Azure, Networking, Security"
Gerrit Administrator,"Gerrit, Git, Code Review, Linux, Automation, Scripting, Version Control"
Jenkins Engineer,"Jenkins, CI/CD, Automation, Groovy, Scripting, Linux, Docker, Kubernetes, Build Automation, Version Control"
Jira Administrator,"Jira, Atlassian Suite, Agile Methodologies, Workflow Configuration, User Management, Project Management"
Kubernetes Operations Engineer,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security"
Machine learning Architect,"Machine Learning, Deep Learning, Cloud Computing, Data Science, System Design, AWS, Azure, Scalability, Security, Model Deployment"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, Keras, PyTorch, Data Analysis, Deep Learning, Natural Language Processing, Computer Vision, Data Science, Algorithms"
Operations Engineer,"Linux, Windows Server, Networking, Troubleshooting, Scripting, Automation, Cloud Computing, Monitoring, System Administration"
Principle Engineer in Artificial Intelligence,"AI Strategy, Machine Learning, Deep Learning, Data Science, Python, TensorFlow, Cloud Computing, System Design, Mentoring, Innovation"
Principle Engineer in Big Data,"Big Data Architecture, Hadoop, Spark, Kafka, Data Warehousing, Cloud Computing, Data Governance, Mentoring, Innovation"
Principle Engineer in Data Analysis,"Data Analysis, Statistics, SQL, Python, Data Visualization, Data Modeling, Mentoring, Innovation"
Principle Engineer in Machine Learning,"Machine Learning, Deep Learning, Python, TensorFlow, Cloud Computing, Model Deployment, Mentoring, Innovation"
Production Support Engineer,"Troubleshooting, Linux, Windows Server, Scripting, Networking, Databases, Monitoring, Automation, ITIL"
Puppet Operations Engineer,"Puppet, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code"
Senior Build and Release Engineer,"CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools, Leadership, Mentoring"
Senior Build Engineer,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control, Leadership, Mentoring"
Senior DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Cloud Computing, Leadership"
Senior Site reliability Engineer,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership"
Site Reliability Engineer (Kubernetes – Docker),"SRE, Kubernetes, Docker, Linux, Cloud Computing, Monitoring, Automation, CI/CD, Networking, Troubleshooting"
Splunk Engineer,"Splunk, Data Analysis, Log Management, Security, Dashboards, Alerting, Scripting, Linux, AWS, Azure"
.NET Developer,".NET, C#, ASP.NET, SQL Server, Web API, MVC, Entity Framework, LINQ, Git, Cloud Computing"
ACCESSIBILITY SPECIALIST,"WCAG, ARIA, Accessibility Testing, Assistive Technologies, HTML, CSS, JavaScript, UI/UX, ADA Compliance"
AGILE PROJECT MANAGER,"Agile Methodologies, Scrum, Kanban, Project Management, Stakeholder Management, Communication, Jira, Confluence"
Android Developer,"Android SDK, Java, Kotlin, UI/UX Design, REST APIs, SQL, Android Studio, Firebase, Mobile Development"
Ansible Automation Engineer,"Ansible, Automation, Infrastructure as Code, Cloud Computing, AWS, Azure, Linux, Python, Scripting, Networking"
AppDynamics Engineer,"AppDynamics, Application Performance Monitoring, Troubleshooting, Java, .NET, Cloud Computing, Metrics, Alerting"
Application Security Engineer,"Application Security, SAST, DAST, Penetration Testing, Vulnerability Management, OWASP, Secure Coding, Cloud Security"
Artifactory Engineer,"Artifactory, CI/CD, Jenkins, Maven, Gradle, Docker, Build Automation, Version Control, Git, Cloud Computing, Linux"
AWS DevOps Engineer,"AWS, DevOps, CI/CD, Terraform, Ansible, CloudFormation, Docker, Kubernetes, Linux, Automation, Scripting"
AWS Solutions Architect,"AWS, Cloud Architecture, AWS Lambda, EC2, S3, CloudFormation, DevOps, Terraform, Security, Cloud Security, Networking"
Azure DevOps Engineer,"Azure, DevOps, CI/CD, Terraform, Ansible, ARM Templates, Docker, Kubernetes, Linux, Automation, Scripting"
Bamboo Engineer,"Bamboo, CI/CD, Atlassian Suite, Automation, Scripting, Build Automation, Version Control, Git"
Bitbucket Engineer,"Bitbucket, Git, Version Control, CI/CD, Atlassian Suite, Branching Strategies, Code Review"
Blockchain Developer,"Blockchain, Ethereum, Smart Contracts, Solidity, Cryptocurrency, Distributed Ledger, Consensus Algorithms, Web3, JavaScript, Node.js"
BUSINESS SYSTEMS ANALYST,"Business Analysis, Requirements Gathering, Process Improvement, Stakeholder Management, SQL, Data Analysis, UML, BPMN"
C# Developer,"C#, .NET, ASP.NET, SQL Server, Web API, MVC, Entity Framework, LINQ, Git, Cloud Computing"
Chef InSpec Engineer,"Chef InSpec, Compliance as Code, Automation, Security, Configuration Management, Linux, Cloud Computing"
Cloud administrator,"Cloud Computing, AWS, Azure, Google Cloud, Linux, Networking, Security, Automation, Scripting, Virtualization"
CLOUD ARCHITECT,"Cloud Architecture, AWS, Azure, Google Cloud, Terraform, Cloud Security, Networking, Microservices, CI/CD, Automation, Docker, Kubernetes"
Cloud automation engineer,"Cloud Computing, Automation, Terraform, Ansible, Python, Scripting, CI/CD, AWS, Azure, Google Cloud"
Cloud engineer,"Cloud Computing, AWS, Azure, Google Cloud, Linux, Networking, Security, Automation, Scripting, Virtualization"
Cloud network engineer,"Cloud Networking, AWS, Azure, Google Cloud, VPC, Subnets, Routing, Security Groups, Firewalls"
Cloud Security Engineer,"Cloud Security, IAM, Identity and Access Management, Encryption, AWS, Azure, GCP, Vulnerability Management, Compliance"
CNC Programmer,"CNC Programming, G-Code, CAD/CAM, Machining, Manufacturing Processes, Blueprints, Toolpath Optimization"
Coder,"Programming, Algorithms, Data Structures, Problem Solving, Debugging, Software Development"
COMPUTER GRAPHICS ANIMATOR,"3D Animation, 2D Animation, Motion Graphics, Adobe Creative Suite, Maya, Blender, Storyboarding, Visual Effects"
Computer Hardware Engineer,"Hardware Design, Circuit Design, Embedded Systems, Microprocessors, PCB Design, Testing, Validation"
Computer Network Architect,"Network Design, Routing, Switching, Security, LAN/WAN, TCP/IP, VPN, Firewalls, Cloud Networking"
Computer Programmer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++"
Computer Research Scientist,"Research Methods, Data Analysis, Algorithms, Machine Learning, Publications, Scientific Writing, Programming"
Computer Systems Analyst,"System Analysis, Requirements Gathering, Data Analysis, Process Improvement, UML, SQL, Stakeholder Management"
Confluence Engineer,"Confluence, Atlassian Suite, Collaboration, Documentation, Workflow Configuration, User Management"
Consul Engineer,"Consul, Service Discovery, Configuration Management, Networking, Automation, Cloud Computing"
Coverage.py Engineer,"Coverage.py, Python, Testing, Code Coverage, Quality Assurance, CI/CD"
DATA ANALYST,"SQL, Excel, Data Visualization, Power BI, Python, R, Statistics, Data Mining, Data Cleansing, Tableau, ETL, Data Modeling"
Data Engineer,"SQL, ETL, Data Warehousing, Python, Spark, Hadoop, Cloud Computing, Data Pipelines, Data Modeling"
DATA MODELER,"Data Modeling, SQL, Data Warehousing, Database Design, ER Diagrams, Data Governance"
DATA SCIENTIST,"Python, R, Machine Learning, Data Science, Statistics, SQL, Hadoop, Spark, Data Wrangling, Data Visualization, Cloud Computing"
Database Administrator,"SQL, Database Management, MySQL, PostgreSQL, Oracle, Database Design, Performance Tuning, Backup and Recovery"
Datadog Engineer,"Datadog, Monitoring, Alerting, Metrics, Dashboards, Cloud Computing, Linux, Troubleshooting"
Developer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++"
DEVOPS MANAGER,"DevOps, Team Management, Project Management, CI/CD, Cloud Computing, Automation, Communication, Leadership, Budgeting"
DevSecOps Architect,"DevSecOps, Cloud Security, Kubernetes, Docker, Terraform, Ansible, CI/CD, Security Automation, Vulnerability Management"
DevSecOps Engineer,"DevSecOps, Kubernetes, Docker, Cloud Security, Penetration Testing, Continuous Security, CI/CD, AWS, Terraform, Vulnerability Scanning"
Director of Engineering,"Team Management, Project Management, Software Development, Agile Methodologies, Budgeting, Communication, Leadership"
Docker Engineer,"Docker, Containerization, Kubernetes, CI/CD, Linux, Cloud Computing, Automation, Networking"
Embedded Software Engineer,"Embedded C, RTOS, Microcontrollers, Firmware Development, Hardware Design, Communication Protocols, Testing"
Entry Level Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
Entry Level Network Engineer,"Networking, TCP/IP, Routing, Switching, Linux, Windows Server, Troubleshooting"
Entry Level Programmer,"Programming, Algorithms, Data Structures, Python, Java, C++, Debugging"
Entry Level Software Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
Entry Level Software Engineer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
Entry Level Web Developer,"HTML, CSS, JavaScript, Git, Web Development Fundamentals, UI/UX Basics"
Envoy Engineer,"Envoy, Service Mesh, Networking, Kubernetes, Docker, Cloud Computing, Traffic Management, Security"
Falco Engineer,"Falco, Security, Kubernetes, Docker, Cloud Computing, Threat Detection, System Monitoring"
FluentD Engineer,"FluentD, Log Management, Data Collection, Data Processing, Elasticsearch, Kibana, Cloud Computing"
Fortify Engineer,"Fortify, Static Code Analysis, Security, Vulnerability Management, Software Development, Java, .NET"
FRAMEWORKS SPECIALIST,"React, Angular, Vue.js, Spring Framework, Django, Framework Development, JavaScript, Java, Python"
Front End Developer,"JavaScript, HTML, CSS, React, Angular, Vue.js, Node.js, TypeScript, Sass, UI/UX Design"
Front End Web Developer,"JavaScript, HTML, CSS, React, Angular, Vue.js, Node.js, TypeScript, Sass, UI/UX Design"
Full Stack Developer,"JavaScript, HTML, CSS, Node.js, React, Angular, Express.js, MongoDB, SQL, Python, Django, DevOps, CI/CD"
