Skills,Certifications
Admin Big Data,"Cloudera Certified Professional (CCP), Hortonworks Certified Associate (HCA), AWS Certified Big Data – Specialty"
Ansible Operations Engineer,"Red Hat Certified Specialist in Ansible Automation, AWS Certified DevOps Engineer – Professional"
Artifactory Administrator,"JFrog Artifactory Certification, DevOps Institute Certifications"
Artificial Intelligence / Machine Learning Leader,"AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)"
Artificial Intelligence / Machine Learning Sr.Leader,"Certified Artificial Intelligence Practitioner (CAIP), AI-900: Microsoft Azure AI Fundamentals"
Artificial intelligence Architect,"Google Cloud Professional Machine Learning Engineer, AWS Certified Solutions Architect – Professional"
Artificial Intelligence Researcher,"Certified Data Scientist (CDS), IEEE Certified Artificial Intelligence Engineer"
Big Data Architect,"Cloudera Certified Data Architect, AWS Certified Solutions Architect – Associate"
Big Data Engineer,"Google Cloud Professional Data Engineer, AWS Certified Big Data – Specialty"
Big Data Specialist,"Certified Big Data Analytics (CBDA), IBM Certified Data Engineer - Big Data"
Build and Release Engineer,"Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Build Engineer,"AWS Certified Developer – Associate, Jenkins Certification"
Chef Operations Engineer,"Chef Certification, AWS Certified DevOps Engineer – Professional"
Data Analysts,"Microsoft Certified: Data Analyst Associate, Tableau Desktop Specialist"
Data Architect,"IBM Certified Data Architect - Big Data, Google Cloud Professional Data Architect"
DevOps Architect,"AWS Certified Solutions Architect – Professional, Google Cloud Professional DevOps Engineer"
DevOps Engineer,"AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
ELK Engineer,"Elastic Certified Engineer, Elastic Stack Certification"
Gerrit Administrator,Gerrit Code Review Certification (if available)
Jenkins Engineer,"Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Jira Administrator,"Atlassian Jira Administration Certification, AgilePM Certification"
Kubernetes Operations Engineer,"Certified Kubernetes Administrator (CKA), CNCF Kubernetes Security Specialist (CKS)"
Machine learning Architect,"Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning – Specialty"
Machine Learning Engineer,"Microsoft Certified: Azure Data Scientist Associate, TensorFlow Developer Certificate"
Operations Engineer,"ITIL Foundation Certification, CompTIA IT Fundamentals+"
Principle Engineer in Artificial Intelligence,"AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)"
Principle Engineer in Big Data,"Cloudera Certified Professional (CCP), Google Cloud Professional Data Engineer"
Principle Engineer in Data Analysis,"Certified Analytics Professional (CAP), Microsoft Certified: Data Analyst Associate"
Principle Engineer in Machine Learning,"Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning – Specialty"
Production Support Engineer,"ITIL Foundation Certification, CompTIA A+"
Puppet Operations Engineer,"Puppet Certification, AWS Certified DevOps Engineer – Professional"
Senior Build and Release Engineer,"Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Senior Build Engineer,"Jenkins Certification, AWS Certified Developer – Associate"
Senior DevOps Engineer,"AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
Site Reliability Engineer (Kubernetes – Docker),"Certified Kubernetes Administrator (CKA), Docker Certified Associate"
Splunk Engineer,"Splunk Core Certified Power User, Splunk Enterprise Security Admin"
.NET Developer,"Microsoft Certified: .NET Developer, MCP: Programming in C#"
ACCESSIBILITY SPECIALIST,"IAAP CPACC, W3C Web Accessibility Specialist"
AGILE PROJECT MANAGER,"Project Management Professional (PMP), Certified ScrumMaster (CSM)"
Android Developer,"Associate Android Developer, Google Play Store Certification"
Ansible Automation Engineer,"Red Hat Ansible Automation Certification, AWS Certified DevOps Engineer - Professional"
AppDynamics Engineer,"AppDynamics Certification, Cisco Application Centric Infrastructure (ACI)"
Application Security Engineer,"Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH)"
Artifactory Engineer,"JFrog Artifactory Certification, DevOps Institute Certifications"
AWS DevOps Engineer,"AWS Certified DevOps Engineer - Professional, Docker Certified Associate"
AWS Solutions Architect,"AWS Certified Solutions Architect - Associate, AWS Certified Solutions Architect - Professional"
Azure DevOps Engineer,"Microsoft Certified: Azure DevOps Solutions Expert, Azure Fundamentals"
Bamboo Engineer,"Atlassian Bamboo Certification, CI/CD Certifications"
Bitbucket Engineer,"Atlassian Bitbucket Certification, GitHub Proficiency Certifications"
Blockchain Developer,"Certified Blockchain Developer, Ethereum Developer Certification"
BUSINESS SYSTEMS ANALYST,"CBAP - Certified Business Analysis Professional, PMI-PBA - PMI Professional in Business Analysis"
C# Developer,"Microsoft Certified: C# Programmer, .NET Framework Certification"
Chef InSpec Engineer,"Chef InSpec Certification, HashiCorp Terraform Associate"
Cloud administrator,"CompTIA Cloud+, Cloud Security Alliance CCSK"
CLOUD ARCHITECT,"Google Cloud Professional Cloud Architect, AWS Certified Solutions Architect"
Cloud automation engineer,"HashiCorp Terraform Associate, Azure Automation Certifications"
Cloud engineer,"Google Cloud Associate Cloud Engineering, CompTIA Cloud+"
Cloud network engineer,"Cisco CCNA Cloud, Cisco CCNP Cloud"
Cloud Security Engineer,"Certified Cloud Security Professional (CCSP), CompTIA Security+"
CNC Programmer,"CNC Programming Certificate, Mastercam Certification"
Coder,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
COMPUTER GRAPHICS ANIMATOR,"Adobe Creative Suite Certifications, Maya Certifications"
Computer Hardware Engineer,"CompTIA A+, Cisco CCNA"
Computer Network Architect,"Cisco CCNP Network Design, Cisco CCIE Routing and Switching"
Computer Programmer,"Oracle Java Programmer Certification, Microsoft Technology Associate (MTA)"
Computer Research Scientist,"Certified Data Scientist (CDS), IEEE Certified Artificial Intelligence Engineer"
Computer Systems Analyst,"Certified Business Analysis Professional (CBAP), ITIL Foundation Certification"
Confluence Engineer,"Atlassian Confluence Certification, AgilePM Certification"
Consul Engineer,"HashiCorp Certified: Consul Associate, Cloud Security Alliance CCSK"
Coverage.py Engineer,"Python Institute Certifications, Certified Software Development Professional (CSDP)"
